Kreis (r 12.5m);X;Y;DG Rubus sp. [%];DG Strauchschicht [%] (0.5-3m);DG Baumschicht [%] (ab 3m)
0;684850;237300;24.2;65;71
1;684825;237050;1.2;64.5;75
2;684825;237200;48;40;32
3;684825;237275;4.9;82;60
4;684825;237325;8;31;76
5;684775;237150;17.8;22.5;73
6;684775;237175;2;38;90
7;684775;237225;41.2;27.5;35
8;684775;237325;42.5;80;60
9;684775;237375;12;67;55
10;684650;237225;65;78;68
11;684650;237300;95;12;25
12;684650;237350;65;80;67
13;684625;237250;0.2;88;96
14;684825;237425;87;62;20
15;684475;237350;79;77;75
16;684475;237400;100;38;29
17;684475;237425;53;83;70
18;684450;237100;84;58;57
19;684750;237125;80.5;49.9;39
20;684750;237475;55;20;15
21;684725;237500;45;77;65
22;684675;237475;33;55;40
23;684650;237600;5;65;90
24;684625;237550;5;45;75
