Kreis (r 12.5m);X;Y;Deckungsgrad Rubus sp. [%];DG Strauchschicht [%] (0.5-3m);DG Baumschicht [%] (ab 3m)
0;684875;237150;45;70;50
1;684800;237225;40;60;60
2;684775;237450;95;18;12
3;684750;237200;10;50;65
4;684750;237450;55;13;25
5;684625;237375;40;30;60
6;684625;237475;50;70;40
7;684625;237500;10;70;30
8;684625;237625;70;65;60
9;684600;237275;10;60;80
10;684600;237375;35;35;55
11;684575;237525;1;25;90
12;684550;237500;3;20;20
13;684500;237250;50;40;30
14;684425;237200;20;45;25
15;684400;237400;25;20;10
16;684350;237375;2;5;15
17;684775;237200;5;10;20
18;684725;237425;50;70;50
19;684700;237200;3;15;80
20;684675;237450;30;70;45
21;684600;237325;40;20;60
22;684600;237375;85;60;40
23;684575;237475;70;60;40
24;684525;237350;50;35;30
